nohup: ignoring input
2025-05-12 15:35:17.380 | INFO     | utils.video_utils:prepare_model:193 - Using single device: cuda:0
2025-05-12 15:35:17.380 | INFO     | utils.video_utils:prepare_model:203 - GPT activated. API_URL: http://210.75.240.155:25712/v1/chat/completions. MODEL_VERSION: /mnt/usercache/zhaosuifeng/model/gemma-3-12b-it/
2025-05-12 15:35:26.978 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:35:31.636 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:35:36.472 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:35:41.249 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:35:45.590 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:35:51.174 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:35:56.245 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:01.417 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:05.753 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:09.329 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:13.549 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:17.626 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:21.499 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:28.432 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:32.024 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:35.733 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:40.229 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:46.487 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:50.197 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:54.308 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:36:57.501 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:00.738 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:05.240 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:09.580 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:14.337 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:20.884 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:25.377 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:30.166 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:35.479 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:41.175 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:46.896 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
2025-05-12 15:37:52.299 | DEBUG    | utils.video_utils:generate:326 - <Response [200]>
