nohup: ignoring input
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2025-05-10 16:20:19.509 | INFO     | utils.video_utils:prepare_model:193 - Using single device: cuda:0
2025-05-10 16:20:19.510 | INFO     | utils.video_utils:prepare_model:203 - GPT activated. API_URL: http://210.75.240.155:25712/v1/chat/completions. MODEL_VERSION: /mnt/usercache/zhaosuifeng/model/gemma-3-27b-it/
2025-05-10 16:20:35.852 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:20:44.012 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:20:55.554 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:21:18.875 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:21:27.094 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:21:37.807 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:21:53.295 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:21:59.028 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:22:04.668 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:22:45.515 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:22:55.910 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:23:05.573 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:23:41.122 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:23:48.728 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:23:57.252 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:24:36.078 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:24:42.741 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:24:47.835 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:25:15.797 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:25:24.528 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:25:39.040 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:25:54.447 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:26:07.929 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:26:21.441 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:26:33.564 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:26:42.252 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:26:54.454 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:27:34.069 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-05-10 16:27:44.104 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
