nohup: ignoring input
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2025-04-27 07:46:25.579 | INFO     | utils.video_utils:prepare_model:193 - Using single device: cuda:0
2025-04-27 07:46:25.580 | INFO     | utils.video_utils:prepare_model:203 - GPT activated. API_URL: https://us.vveai.com/v1/chat/completions. MODEL_VERSION: o4-mini-2025-04-16
2025-04-27 07:47:26.477 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:48:31.846 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:49:34.520 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:50:08.819 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:50:57.566 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:52:31.882 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:53:03.501 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:53:40.122 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:54:06.591 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:54:35.710 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:54:58.967 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:55:25.753 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:55:57.065 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:56:39.748 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:57:11.099 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:57:57.572 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:58:27.968 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:59:08.157 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 07:59:42.427 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:00:22.845 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:01:07.793 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:02:38.855 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:03:32.537 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:04:21.884 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:04:57.556 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:05:44.425 | DEBUG    | utils.video_utils:generate:325 - <Response [200]>
2025-04-27 08:08:04.882 | INFO     | utils.video_utils:generate:336 - Attempt 1 failed with error: HTTPSConnectionPool(host='us.vveai.com', port=443): Read timed out. (read timeout=120).
Response: .
2025-04-27 08:08:04.882 | DEBUG    | utils.video_utils:generate:338 - Content: [{'type': 'text', 'text': '\n[[INSTRUCTIONS]]\nPlease select the best answer to the following multiple-choice question based on the video. \nOnly one option is the most accurate answer in relation to the question and the video.\n\nWhat is the correct answer to this question [[QUESTION]]\nOptions:\n[[OPTIONS]]\n[[END OF INSTRUCTIONS]]\n[[QUESTION]]\nWhat is the core concept that the film aims to convey?\n[[END OF QUESTION]]\n[[OPTIONS]]\n[\'(A) Romantic relationships in adolescence.\', \'(B) The importance of education institutions.\', \'(C) Overcoming supernatural challenges.\', \'(D) The dynamics of family disagreements.\', \'(E) Exploration of technological advancement.\', \'(F) Not to judge others too quickly.\', \'(G) Journey of a superhero in saving the city.\', \'(H) Inter-species relations on Earth.\', \'(I) Power struggles in political leadership.\', \'(J) Historical recount of a famous personality.\']\n[[END OF OPTIONS]]\n[[OUTPUT FORMAT]]\nFormat your answer as follows:\nIf the correct option letters (A, B, C, D... ) for the multiple-choice question is X,\nDirectly give the final correct option number in the following format: "[[X]]"\n[[END OF OUTPUT FORMAT]]\n '}]
2025-04-27 08:10:18.233 | INFO     | utils.video_utils:generate:336 - Attempt 2 failed with error: HTTPSConnectionPool(host='us.vveai.com', port=443): Read timed out. (read timeout=120).
Response: .
2025-04-27 08:10:18.234 | DEBUG    | utils.video_utils:generate:338 - Content: [{'type': 'text', 'text': '\n[[INSTRUCTIONS]]\nPlease select the best answer to the following multiple-choice question based on the video. \nOnly one option is the most accurate answer in relation to the question and the video.\n\nWhat is the correct answer to this question [[QUESTION]]\nOptions:\n[[OPTIONS]]\n[[END OF INSTRUCTIONS]]\n[[QUESTION]]\nWhat is the core concept that the film aims to convey?\n[[END OF QUESTION]]\n[[OPTIONS]]\n[\'(A) Romantic relationships in adolescence.\', \'(B) The importance of education institutions.\', \'(C) Overcoming supernatural challenges.\', \'(D) The dynamics of family disagreements.\', \'(E) Exploration of technological advancement.\', \'(F) Not to judge others too quickly.\', \'(G) Journey of a superhero in saving the city.\', \'(H) Inter-species relations on Earth.\', \'(I) Power struggles in political leadership.\', \'(J) Historical recount of a famous personality.\']\n[[END OF OPTIONS]]\n[[OUTPUT FORMAT]]\nFormat your answer as follows:\nIf the correct option letters (A, B, C, D... ) for the multiple-choice question is X,\nDirectly give the final correct option number in the following format: "[[X]]"\n[[END OF OUTPUT FORMAT]]\n '}]
2025-04-27 08:10:18.234 | ERROR    | utils.video_utils:generate:342 - All 5 attempts failed. Last error message: HTTPSConnectionPool(host='us.vveai.com', port=443): Read timed out. (read timeout=120).
Response: 
2025-04-27 08:12:19.120 | DEBUG    | utils.video_utils:generate:325 - <Response [503]>
2025-04-27 08:12:19.121 | INFO     | utils.video_utils:generate:336 - Attempt 1 failed with error: 'choices'.
Response: {'error': {'message': '令牌分组 default 下对于模型 o4-mini-2025-04-16 暂无可用渠道！ (request id: 202504271610407574075638787154)', 'type': 'v_api_error', 'param': '', 'code': None}}.
